label,n_entities,total_windows,median_x0,pct_x0_le1,entities_with_folds,total_folds,mean_x0_cv,mean_k_cv,total_sat_folds,n_sat_with_folds,paris_sat_n,paris_sat_p,paris_sat_exp,paris_sat_pct,covid_sat_n,covid_sat_p,covid_sat_exp,covid_sat_pct,paris_all_n,paris_all_p,covid_all_n,covid_all_p,entities_with_fwd_folds,total_fwd_folds,total_fwd_sat_folds,n_fwd_sat_with_folds,fwd_sat_fold_years,fwd_fold_years,paris_fwd_sat_n,paris_fwd_sat_p,paris_fwd_sat_pct,covid_fwd_sat_n,covid_fwd_sat_p,covid_fwd_sat_pct,paris_fwd_all_n,paris_fwd_all_p,covid_fwd_all_n,covid_fwd_all_p,n_inflection_clusters,final_Acceleration,final_Inflection,final_Deceleration,final_Deactivated,cluster1_year,cluster1_count,cluster1_pct
A-3M,114,4504,0.8504,80.7,113,1382,0.3862,2.2552,799,111,81,0.061,47.4,10.1,74,0.798,98.9,9.3,154,0.06,153,0.668,85,535,172,59,"[2019.49828884 2018.75017112 2022.00273785 2022.24914442 2022.49828884
 2022.75017112 2016.00273785 2008.75290897 2013.00273785 2016.75290897
 2016.75290897 2021.00273785 2021.24914442 2021.49828884 2021.75017112
 2022.00273785 2022.24914442 2022.49828884 2022.75017112 2023.00273785
 2023.24914442 2023.49828884 2011.24914442 2021.24914442 2021.49828884
 2021.75017112 2022.00273785 2022.24914442 2022.49828884 2019.24914442
 2019.24914442 2018.00273785 2016.25188227 2016.50102669 2022.75017112
 2023.00273785 2023.00273785 2022.00273785 2023.49828884 2011.24914442
 2019.00273785 2019.24914442 2019.49828884 2014.00273785 2021.00273785
 2021.24914442 2021.49828884 2021.75017112 2022.00273785 2021.00273785
 2021.24914442 2022.00273785 2022.24914442 2022.49828884 2023.00273785
 2023.24914442 2023.49828884 2015.75017112 2012.50102669 2012.75290897
 2023.00273785 2018.00273785 2022.49828884 2018.24914442 2018.49828884
 2018.75017112 2022.75017112 2023.24914442 2023.49828884 2023.00273785
 2023.24914442 2023.49828884 2015.49828884 2016.00273785 2022.49828884
 2022.00273785 2022.24914442 2023.00273785 2021.24914442 2021.49828884
 2011.00273785 2020.75290897 2021.00273785 2011.00273785 2013.24914442
 2014.75017112 2022.75017112 2023.00273785 2023.24914442 2023.49828884
 2016.25188227 2018.00273785 2018.24914442 2018.49828884 2018.75017112
 2014.00273785 2022.00273785 2022.24914442 2015.00273785 2017.00273785
 2021.49828884 2021.75017112 2022.00273785 2013.00273785 2015.24914442
 2016.00273785 2015.00273785 2017.49828884 2020.00273785 2020.25188227
 2016.00273785 2022.00273785 2022.24914442 2022.49828884 2022.75017112
 2023.00273785 2023.24914442 2023.49828884 2020.50102669 2021.00273785
 2021.75017112 2022.00273785 2022.24914442 2022.75017112 2023.00273785
 2023.24914442 2014.00273785 2016.00273785 2016.25188227 2018.00273785
 2011.24914442 2017.00273785 2017.24914442 2018.00273785 2009.75017112
 2012.00273785 2013.00273785 2021.24914442 2021.49828884 2021.75017112
 2023.00273785 2022.49828884 2022.75017112 2023.00273785 2017.24914442
 2017.75017112 2018.00273785 2022.00273785 2014.75017112 2022.75017112
 2023.00273785 2023.24914442 2022.49828884 2022.75017112 2023.00273785
 2020.00273785 2021.49828884 2021.75017112 2022.00273785 2022.24914442
 2022.49828884 2022.75017112 2023.00273785 2023.24914442 2023.49828884
 2021.00273785 2021.24914442 2021.49828884 2021.75017112 2022.00273785
 2022.24914442 2022.49828884]","[2018.24914442 2019.49828884 2019.75017112 2018.75017112 2022.00273785
 2022.24914442 2022.49828884 2022.75017112 2016.00273785 2016.25188227
 2017.00273785 2019.49828884 2008.00273785 2008.75290897 2012.00273785
 2012.25188227 2012.50102669 2014.00273785 2013.00273785 2014.00273785
 2016.75290897 2017.00273785 2017.24914442 2017.49828884 2018.00273785
 2019.00273785 2020.00273785 2020.75290897 2021.00273785 2021.49828884
 2016.75290897 2011.49828884 2021.00273785 2021.24914442 2021.49828884
 2021.75017112 2022.00273785 2022.24914442 2022.49828884 2022.75017112
 2023.00273785 2023.24914442 2023.49828884 2010.00273785 2019.00273785
 2019.24914442 2019.49828884 2022.24914442 2011.00273785 2011.24914442
 2012.00273785 2012.25188227 2012.50102669 2016.00273785 2019.00273785
 2021.24914442 2011.24914442 2021.24914442 2021.49828884 2021.75017112
 2022.00273785 2022.24914442 2022.49828884 2022.75017112 2011.75017112
 2016.00273785 2018.49828884 2019.00273785 2020.75290897 2021.00273785
 2021.24914442 2019.24914442 2017.24914442 2019.24914442 2020.00273785
 2020.50102669 2018.00273785 2018.75017112 2020.75290897 2021.00273785
 2022.24914442 2016.25188227 2016.50102669 2016.75290897 2017.00273785
 2017.24914442 2009.00273785 2011.75017112 2012.00273785 2013.00273785
 2017.00273785 2017.24914442 2017.49828884 2018.00273785 2019.24914442
 2019.49828884 2019.75017112 2022.75017112 2023.00273785 2020.00273785
 2021.00273785 2023.00273785 2015.49828884 2022.00273785 2022.24914442
 2023.49828884 2011.24914442 2013.00273785 2014.00273785 2014.24914442
 2019.00273785 2019.24914442 2019.49828884 2019.75017112 2020.00273785
 2020.25188227 2020.50102669 2021.00273785 2021.75017112 2009.00273785
 2011.00273785 2012.25188227 2012.50102669 2012.75290897 2016.00273785
 2018.00273785 2020.75290897 2021.00273785 2021.24914442 2014.00273785
 2014.24914442 2015.00273785 2015.24914442 2016.00273785 2021.00273785
 2021.24914442 2021.49828884 2021.75017112 2022.00273785 2022.24914442
 2021.00273785 2021.24914442 2011.24914442 2014.00273785 2015.75017112
 2016.00273785 2016.25188227 2017.00273785 2022.00273785 2022.24914442
 2022.49828884 2022.75017112 2023.00273785 2023.24914442 2023.49828884
 2017.75017112 2012.00273785 2015.00273785 2016.00273785 2017.00273785
 2018.00273785 2019.00273785 2020.00273785 2020.25188227 2021.00273785
 2021.24914442 2021.49828884 2014.00273785 2015.75017112 2017.00273785
 2018.00273785 2013.24914442 2015.75017112 2016.00273785 2016.25188227
 2016.75290897 2021.75017112 2022.00273785 2022.75017112 2023.00273785
 2022.00273785 2012.50102669 2012.75290897 2013.00273785 2016.00273785
 2017.00273785 2017.24914442 2017.49828884 2017.75017112 2018.00273785
 2023.00273785 2023.24914442 2014.49828884 2018.00273785 2018.24914442
 2018.49828884 2022.49828884 2022.75017112 2009.75017112 2011.00273785
 2012.00273785 2014.00273785 2014.24914442 2015.00273785 2021.75017112
 2022.00273785 2022.24914442 2023.00273785 2018.24914442 2018.49828884
 2018.75017112 2019.00273785 2019.24914442 2019.75017112 2020.00273785
 2020.25188227 2020.50102669 2020.75290897 2018.49828884 2022.75017112
 2021.49828884 2017.49828884 2018.00273785 2023.24914442 2023.49828884
 2023.00273785 2023.24914442 2023.49828884 2015.49828884 2015.75017112
 2017.00273785 2017.24914442 2019.00273785 2019.24914442 2019.75017112
 2014.24914442 2016.00273785 2018.00273785 2022.49828884 2022.75017112
 2022.00273785 2022.24914442 2017.00273785 2017.24914442 2017.49828884
 2018.00273785 2019.00273785 2020.00273785 2023.00273785 2012.25188227
 2021.24914442 2021.49828884 2018.24914442 2021.00273785 2016.50102669
 2018.24914442 2019.00273785 2020.00273785 2021.00273785 2021.49828884
 2022.24914442 2023.00273785 2017.75017112 2018.49828884 2011.00273785
 2011.24914442 2012.00273785 2013.75017112 2014.00273785 2016.00273785
 2016.25188227 2020.75290897 2021.00273785 2008.50102669 2009.00273785
 2011.00273785 2011.24914442 2013.24914442 2013.49828884 2014.75017112
 2015.00273785 2022.75017112 2023.00273785 2023.24914442 2023.49828884
 2013.49828884 2013.75017112 2014.49828884 2014.75017112 2016.25188227
 2016.50102669 2016.75290897 2009.49828884 2011.00273785 2011.24914442
 2011.75017112 2012.00273785 2018.00273785 2018.24914442 2018.49828884
 2018.75017112 2019.00273785 2019.24914442 2019.49828884 2020.00273785
 2020.25188227 2021.00273785 2021.24914442 2021.49828884 2022.00273785
 2014.00273785 2014.24914442 2017.24914442 2017.49828884 2018.00273785
 2018.24914442 2019.00273785 2019.75017112 2020.00273785 2021.00273785
 2022.24914442 2013.00273785 2014.00273785 2016.00273785 2016.25188227
 2019.00273785 2021.00273785 2021.24914442 2021.49828884 2021.75017112
 2015.49828884 2017.75017112 2019.49828884 2020.50102669 2020.75290897
 2022.00273785 2022.24914442 2022.49828884 2012.00273785 2012.25188227
 2015.00273785 2015.24914442 2016.00273785 2016.25188227 2017.00273785
 2017.24914442 2017.49828884 2012.25188227 2016.00273785 2016.25188227
 2019.00273785 2019.24914442 2019.49828884 2020.00273785 2013.75017112
 2017.00273785 2021.49828884 2021.75017112 2022.00273785 2022.24914442
 2022.49828884 2022.75017112 2020.00273785 2020.25188227 2011.00273785
 2011.24914442 2013.00273785 2013.24914442 2015.24914442 2016.00273785
 2016.25188227 2017.00273785 2017.24914442 2019.00273785 2020.00273785
 2014.00273785 2015.00273785 2017.49828884 2020.00273785 2020.25188227
 2020.50102669 2013.49828884 2016.00273785 2020.50102669 2021.00273785
 2021.75017112 2014.00273785 2014.24914442 2012.00273785 2012.25188227
 2022.00273785 2022.24914442 2022.49828884 2022.75017112 2023.00273785
 2023.24914442 2023.49828884 2012.00273785 2014.00273785 2020.50102669
 2021.00273785 2021.75017112 2022.00273785 2022.24914442 2022.75017112
 2023.00273785 2023.24914442 2010.75017112 2012.75290897 2013.00273785
 2014.00273785 2016.00273785 2016.25188227 2016.50102669 2018.00273785
 2009.49828884 2011.24914442 2011.49828884 2014.00273785 2017.00273785
 2017.24914442 2017.49828884 2017.75017112 2018.00273785 2018.24914442
 2019.00273785 2009.00273785 2014.49828884 2014.75017112 2020.50102669
 2021.00273785 2021.24914442 2011.00273785 2012.00273785 2014.00273785
 2014.24914442 2015.00273785 2015.24914442 2020.00273785 2020.25188227
 2020.50102669 2020.75290897 2021.00273785 2016.00273785 2016.25188227
 2018.00273785 2018.24914442 2019.00273785 2020.00273785 2010.75017112
 2012.00273785 2013.00273785 2015.00273785 2017.00273785 2009.00273785
 2009.75017112 2012.00273785 2014.00273785 2016.00273785 2016.25188227
 2016.50102669 2018.00273785 2018.49828884 2018.75017112 2019.00273785
 2020.75290897 2013.00273785 2013.24914442 2014.00273785 2015.00273785
 2017.00273785 2013.00273785 2014.00273785 2015.00273785 2015.49828884
 2016.75290897 2021.24914442 2021.49828884 2021.75017112 2023.00273785
 2017.49828884 2022.49828884 2022.75017112 2023.00273785 2020.00273785
 2020.25188227 2020.50102669 2021.00273785 2017.24914442 2017.75017112
 2018.00273785 2018.24914442 2018.75017112 2019.00273785 2020.00273785
 2022.00273785 2022.24914442 2014.75017112 2015.00273785 2022.75017112
 2023.00273785 2023.24914442 2022.49828884 2022.75017112 2023.00273785
 2020.75290897 2021.00273785 2021.24914442 2022.49828884 2020.00273785
 2020.25188227 2011.00273785 2012.00273785 2012.25188227 2013.00273785
 2021.49828884 2021.75017112 2022.00273785 2022.24914442 2022.49828884
 2022.75017112 2023.00273785 2023.24914442 2023.49828884 2008.75290897
 2010.00273785 2012.00273785 2021.00273785 2021.24914442 2021.49828884
 2021.75017112 2022.00273785 2022.24914442 2022.49828884 2022.75017112]",5,0.671,2.9,11,0.506,6.4,23,0.736,90,0.214,1,32.5,2.6,42.1,22.8,2021.7,61,53.5
A-6M,114,2302,0.8571,78.3,109,552,0.1815,1.8935,312,93,35,0.072,19.8,11.2,30,0.842,40.8,9.6,67,0.072,69,0.689,83,270,51,32,"[2022.00273785 2022.49828884 2016.50102669 2016.50102669 2021.00273785
 2021.49828884 2022.00273785 2022.49828884 2016.00273785 2019.00273785
 2021.00273785 2021.00273785 2022.00273785 2023.00273785 2023.49828884
 2015.49828884 2018.00273785 2022.49828884 2023.00273785 2023.49828884
 2023.00273785 2021.00273785 2014.49828884 2022.49828884 2023.00273785
 2018.00273785 2022.00273785 2011.49828884 2015.00273785 2020.00273785
 2022.00273785 2022.49828884 2023.00273785 2021.49828884 2022.00273785
 2022.49828884 2016.00273785 2021.00273785 2021.49828884 2022.49828884
 2023.00273785 2017.00273785 2022.49828884 2023.00273785 2022.00273785
 2022.49828884 2021.49828884 2022.00273785 2022.49828884 2021.00273785
 2021.49828884]","[2018.00273785 2019.49828884 2022.00273785 2022.49828884 2016.00273785
 2008.50102669 2011.00273785 2012.00273785 2014.00273785 2013.00273785
 2014.00273785 2016.50102669 2017.00273785 2019.00273785 2020.00273785
 2020.50102669 2016.50102669 2011.49828884 2021.00273785 2021.49828884
 2022.00273785 2022.49828884 2023.00273785 2010.00273785 2019.00273785
 2011.00273785 2012.00273785 2016.00273785 2021.00273785 2011.00273785
 2021.00273785 2021.49828884 2022.00273785 2022.49828884 2016.00273785
 2020.50102669 2019.00273785 2017.00273785 2019.00273785 2018.00273785
 2018.49828884 2020.50102669 2022.00273785 2016.00273785 2016.50102669
 2017.00273785 2009.00273785 2011.49828884 2013.00273785 2017.00273785
 2017.49828884 2019.00273785 2019.49828884 2022.49828884 2023.00273785
 2015.49828884 2022.00273785 2021.00273785 2011.00273785 2014.00273785
 2019.00273785 2019.49828884 2020.00273785 2020.50102669 2021.00273785
 2009.00273785 2011.00273785 2012.00273785 2020.50102669 2014.00273785
 2015.00273785 2021.00273785 2021.49828884 2022.00273785 2021.00273785
 2011.00273785 2015.49828884 2017.00273785 2022.00273785 2022.49828884
 2023.00273785 2023.49828884 2017.49828884 2016.00273785 2017.00273785
 2018.00273785 2020.00273785 2014.00273785 2017.00273785 2015.49828884
 2016.00273785 2016.50102669 2021.49828884 2012.50102669 2016.00273785
 2017.00273785 2017.49828884 2023.00273785 2018.00273785 2022.49828884
 2012.00273785 2015.00273785 2021.49828884 2022.00273785 2010.49828884
 2018.00273785 2018.49828884 2019.00273785 2019.49828884 2020.00273785
 2021.49828884 2022.49828884 2021.49828884 2017.49828884 2023.00273785
 2023.49828884 2016.50102669 2023.00273785 2015.49828884 2019.00273785
 2014.00273785 2022.49828884 2021.49828884 2017.00273785 2017.49828884
 2018.00273785 2019.00273785 2020.00273785 2012.00273785 2021.00273785
 2018.00273785 2018.00273785 2019.49828884 2022.00273785 2017.49828884
 2018.49828884 2020.00273785 2013.49828884 2014.00273785 2016.00273785
 2020.50102669 2011.00273785 2013.00273785 2014.49828884 2015.00273785
 2022.49828884 2023.00273785 2013.00273785 2014.49828884 2016.00273785
 2016.50102669 2010.00273785 2011.00273785 2018.00273785 2018.49828884
 2019.00273785 2019.49828884 2020.00273785 2021.00273785 2021.49828884
 2014.00273785 2017.00273785 2018.00273785 2019.49828884 2022.00273785
 2013.00273785 2014.00273785 2016.00273785 2021.00273785 2021.49828884
 2015.49828884 2017.49828884 2020.50102669 2022.00273785 2011.49828884
 2012.00273785 2015.00273785 2015.49828884 2016.00273785 2017.00273785
 2017.49828884 2012.00273785 2016.00273785 2019.00273785 2013.00273785
 2021.49828884 2022.00273785 2022.49828884 2020.00273785 2013.00273785
 2015.00273785 2016.00273785 2014.00273785 2017.49828884 2020.00273785
 2013.49828884 2014.00273785 2013.00273785 2022.00273785 2022.49828884
 2023.00273785 2012.00273785 2014.00273785 2021.49828884 2022.00273785
 2022.49828884 2011.00273785 2012.50102669 2016.00273785 2017.00273785
 2017.49828884 2018.00273785 2012.00273785 2014.49828884 2020.50102669
 2014.00273785 2014.49828884 2015.00273785 2020.00273785 2020.50102669
 2018.00273785 2019.00273785 2011.00273785 2012.00273785 2020.00273785
 2020.50102669 2009.00273785 2014.00273785 2016.00273785 2018.00273785
 2018.49828884 2020.50102669 2012.00273785 2013.00273785 2016.50102669
 2013.00273785 2014.00273785 2015.00273785 2015.49828884 2016.50102669
 2021.00273785 2021.49828884 2017.49828884 2022.49828884 2023.00273785
 2020.00273785 2010.49828884 2017.00273785 2017.49828884 2018.00273785
 2018.49828884 2022.00273785 2014.49828884 2022.49828884 2023.00273785
 2022.00273785 2022.49828884 2020.50102669 2021.00273785 2020.00273785
 2011.00273785 2012.00273785 2021.49828884 2022.00273785 2022.49828884
 2023.00273785 2010.00273785 2021.00273785 2021.49828884 2022.00273785]",2,0.418,3.9,2,0.726,3.9,14,0.741,44,0.354,1,24.6,7.0,46.5,21.9,2021.6,66,57.9
A-12M,114,1163,0.8629,73.2,86,159,0.1855,1.3845,98,60,10,0.149,5.9,10.2,9,0.834,12.4,9.2,22,0.072,17,0.62,66,108,10,10,"[2021.00273785 2023.00273785 2023.00273785 2019.00273785 2022.00273785
 2021.00273785 2022.00273785 2022.00273785 2022.00273785 2021.00273785]","[2018.00273785 2018.00273785 2022.00273785 2016.00273785 2022.00273785
 2016.00273785 2019.00273785 2020.00273785 2016.00273785 2021.00273785
 2022.00273785 2010.00273785 2021.00273785 2016.00273785 2020.00273785
 2018.00273785 2020.00273785 2016.00273785 2017.00273785 2022.00273785
 2015.00273785 2014.00273785 2019.00273785 2020.00273785 2010.00273785
 2020.00273785 2014.00273785 2021.00273785 2011.00273785 2015.00273785
 2023.00273785 2016.00273785 2017.00273785 2016.00273785 2012.00273785
 2018.00273785 2011.00273785 2018.00273785 2019.00273785 2023.00273785
 2017.00273785 2015.00273785 2014.00273785 2016.00273785 2021.00273785
 2017.00273785 2019.00273785 2012.00273785 2018.00273785 2019.00273785
 2019.00273785 2019.00273785 2011.00273785 2016.00273785 2020.00273785
 2011.00273785 2013.00273785 2013.00273785 2016.00273785 2011.00273785
 2018.00273785 2019.00273785 2020.00273785 2018.00273785 2022.00273785
 2011.00273785 2011.00273785 2015.00273785 2016.00273785 2019.00273785
 2021.00273785 2013.00273785 2016.00273785 2017.00273785 2022.00273785
 2013.00273785 2021.00273785 2022.00273785 2012.00273785 2016.00273785
 2017.00273785 2020.00273785 2012.00273785 2014.00273785 2015.00273785
 2012.00273785 2020.00273785 2016.00273785 2018.00273785 2013.00273785
 2017.00273785 2021.00273785 2022.00273785 2017.00273785 2022.00273785
 2020.00273785 2017.00273785 2018.00273785 2022.00273785 2022.00273785
 2020.00273785 2010.00273785 2012.00273785 2021.00273785 2022.00273785
